Vehicle Type,Drive,Value,date,transport_type,economy,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2w,bev,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,bev,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,bev,16287.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,bev,3291.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,bev,16.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,bev,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,bev,36.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,436.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,lpg,21.5,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,lpg,7.5,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,lpg,77.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,872.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,134.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,cng,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,cng,436.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,cng,21.5,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,cng,7.5,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,cng,77.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,cng,872.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,cng,134.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_g,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_g,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_g,21934.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_g,1655.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_g,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_g,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_g,292.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_d,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_d,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_d,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_d,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_d,0.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_d,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_d,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,729687.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,32119.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,ice_g,9883094.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,ice_g,6612488.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,ice_g,3443800.0,2017,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,2041790.0,2017,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,bev,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,bev,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,bev,29994.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,bev,5772.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,bev,16.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,bev,0.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,bev,27.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,488.3333333333333,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,lpg,21.5,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,lpg,9.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,lpg,66.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,976.6666666666666,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,188.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,cng,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,cng,488.3333333333333,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,cng,21.5,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,cng,9.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,cng,66.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,cng,976.6666666666666,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,cng,188.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_g,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_g,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_g,33551.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_g,5111.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_g,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_g,0.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_g,1584.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_d,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_d,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_d,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_d,0.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_d,0.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_d,0.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_d,0.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,738685.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,33966.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,ice_g,9718067.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,ice_g,7127214.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,ice_g,3498955.0,2018,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,1996884.0,2018,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,bev,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,bev,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,bev,55743.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,bev,10623.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,bev,22.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,bev,0.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,bev,27.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,567.1666666666666,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,lpg,42.5,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,lpg,10.5,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,lpg,56.5,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,1134.3333333333333,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,254.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,cng,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,cng,567.1666666666666,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,cng,42.5,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,cng,10.5,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,cng,56.5,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,cng,1134.3333333333333,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,cng,254.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_g,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_g,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_g,46080.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_g,11132.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_g,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_g,0.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_g,2504.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_d,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_d,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_d,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_d,0.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_d,0.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_d,0.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_d,0.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,747892.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,36872.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,ice_g,9502435.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,ice_g,7629263.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,ice_g,3540090.0,2019,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,1944111.0,2019,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,bev,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,bev,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,bev,83628.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,bev,19422.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,bev,24.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,bev,0.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,bev,24.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,665.6666666666666,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,lpg,61.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,lpg,12.5,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,lpg,50.5,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,1331.3333333333333,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,280.5,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,cng,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,cng,665.6666666666666,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,cng,61.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,cng,12.5,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,cng,50.5,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,cng,1331.3333333333333,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,cng,280.5,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_g,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_g,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_g,57074.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_g,16973.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_g,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_g,0.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_g,3054.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_d,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_d,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_d,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_d,0.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_d,0.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_d,0.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_d,0.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,749306.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,36456.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,ice_g,9252619.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,ice_g,8079983.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,ice_g,3605656.0,2020,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,1898548.0,2020,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,bev,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,bev,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,bev,110059.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,bev,42571.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,bev,24.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,bev,0.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,bev,25.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,750.3333333333334,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,lpg,94.5,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,lpg,13.5,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,lpg,46.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,1500.6666666666667,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,275.5,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,cng,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,cng,750.3333333333334,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,cng,94.5,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,cng,13.5,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,cng,46.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,cng,1500.6666666666667,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,cng,275.5,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_g,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_g,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_g,63858.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_g,28031.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_g,2.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_g,0.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_g,4005.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,phev_d,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,phev_d,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,phev_d,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,phev_d,0.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,phev_d,0.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,phev_d,0.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,phev_d,0.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,816443.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,37197.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
car,ice_g,8992269.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
suv,ice_g,8530842.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lt,ice_g,3676807.0,2021,passenger,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,1871059.0,2021,freight,03_CDA,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
