Economy,Value,Measure,Unit,Source,Vehicle Type,Transport Type,Drive,Medium,Dataset,Date,Frequency
01_AUS,3.5910000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
03_CDA,3.4542000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
04_CHL,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
05_PRC,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
07_INA,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
08_JPN,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
09_ROK,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
10_MAS,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
11_MEX,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
16_RUS,3.1806000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
19_THA,3.1464000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
20_USA,3.7962e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2005-12-31,Yearly
01_AUS,3.3516000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
03_CDA,3.3516000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
04_CHL,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
05_PRC,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
07_INA,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
08_JPN,2.394e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
09_ROK,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
10_MAS,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
11_MEX,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
16_RUS,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
19_THA,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
20_USA,3.4884e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2008-12-31,Yearly
01_AUS,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
03_CDA,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
04_CHL,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
05_PRC,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
07_INA,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
08_JPN,2.394e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
09_ROK,2.4966000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
10_MAS,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
11_MEX,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
16_RUS,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
19_THA,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
20_USA,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2010-12-31,Yearly
01_AUS,3.1806000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
03_CDA,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
04_CHL,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
05_PRC,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
07_INA,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
08_JPN,2.3256000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
10_MAS,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
11_MEX,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
16_RUS,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
19_THA,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
20_USA,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2011-12-31,Yearly
01_AUS,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
03_CDA,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
04_CHL,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
05_PRC,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
07_INA,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
08_JPN,2.1888e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
09_ROK,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
10_MAS,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
11_MEX,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
14_PE,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
15_RP,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
16_RUS,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
19_THA,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
20_USA,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2012-12-31,Yearly
03_CDA,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
04_CHL,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
05_PRC,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
07_INA,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
08_JPN,2.0862e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
09_ROK,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
10_MAS,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
14_PE,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
15_RP,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
16_RUS,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
19_THA,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
20_USA,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2013-12-31,Yearly
01_AUS,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
03_CDA,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
04_CHL,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
05_PRC,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
07_INA,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
08_JPN,1.9836e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
09_ROK,2.1888e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
10_MAS,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
11_MEX,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
14_PE,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
15_RP,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
16_RUS,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
19_THA,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
20_USA,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2014-12-31,Yearly
01_AUS,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
03_CDA,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
04_CHL,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
05_PRC,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
07_INA,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
08_JPN,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
09_ROK,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
10_MAS,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
11_MEX,2.565e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
14_PE,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
15_RP,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
16_RUS,2.8728000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
19_THA,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
20_USA,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2015-12-31,Yearly
01_AUS,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
03_CDA,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
04_CHL,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
05_PRC,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
07_INA,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
08_JPN,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
09_ROK,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
10_MAS,2.4282e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
11_MEX,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
14_PE,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
15_RP,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
16_RUS,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
19_THA,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
20_USA,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2016-12-31,Yearly
01_AUS,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
03_CDA,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
04_CHL,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
05_PRC,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
07_INA,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
08_JPN,2.1204000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
09_ROK,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
10_MAS,2.4282e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
11_MEX,2.5992000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
14_PE,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
15_RP,2.8728000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
16_RUS,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
19_THA,2.565e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
20_USA,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,ice,road,IEA Fuel Economy,2017-12-31,Yearly
