Vehicle Type,Drive,Measure,Medium,Unit,Economy,Transport Type,Scope,Frequency,Date,Dataset,Value,Source
2w,bev,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,629461.3933275853,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,3350708797.2287474,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,57154.80581433774,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,6459521393.678943,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,15143051379.020184,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,707274536.5206949,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,14261134.370166553,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,1506061480.0019293,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,67194374071.50132,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,249903067014.47366,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,14209477782.252874,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,41515794.75233449,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,01_AUS,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,18172181662.35506,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,22210451114.269405,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,42385174200.61385,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,42385235943.13281,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,54140023670.8793,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,24220139234.827244,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,6055034808.706812,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,2663788983.7376485,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,26959077508.079506,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,18049951386.796734,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,716447964875.2012,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,1950901370.34643,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,05_PRC,passenger,National,Yearly,2017-12-31,PassengerKm_est,880075241.0539763,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,2449491789.116577,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,5775043194.696226,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,88933.55876905535,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,305096622.43360895,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,3034472.0510395626,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,42880455.80245928,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,6612991361.4819565,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,84462.94551303178,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,52895230810.14592,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,1729733874.0829875,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,888023.6849508402,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,08_JPN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,1717973072.6749465,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,161368107.2187172,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,58126889104.120605,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,8880496280.24131,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,8073178431.170669,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,4843906812.819761,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,26251045.051327065,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,418436221.14693,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,37796907404.36541,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,221685989880.84644,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,51464585275.34384,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,09_ROK,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,450877704.66115576,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,179906724371.74188,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,7569597.687623334,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,29464863148.83001,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,57860675634.78556,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,2365156925.123266,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,19558302420.197857,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,7225525.0654586535,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,735881.3190604242,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,19241591877.657642,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,234751074040.99277,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,117613540796.90173,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,34196979897.098225,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,19_THA,passenger,National,Yearly,2017-12-31,PassengerKm_est,682177.9378323997,8th/PassengerKm_est
2w,bev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,28310755.61582815,8th/PassengerKm_est
2w,g,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,59584288443.33961,8th/PassengerKm_est
bus,bev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,cng,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,39474437.85374718,8th/PassengerKm_est
bus,d,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,14806248401.129591,8th/PassengerKm_est
bus,fcev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,g,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,26551506417.150845,8th/PassengerKm_est
bus,lpg,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,39474437.85374718,8th/PassengerKm_est
ldv,bev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,90783.62994146712,8th/PassengerKm_est
ldv,cng,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,7828918.28326633,8th/PassengerKm_est
ldv,d,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,10984942107.577976,8th/PassengerKm_est
ldv,fcev,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,g,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,13348135297.56546,8th/PassengerKm_est
ldv,phevg,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
bus,phevd,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
ldv,lpg,passenger_km,road,passenger_km,21_VN,passenger,National,Yearly,2017-12-31,PassengerKm_est,0.0,8th/PassengerKm_est
