Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Year,Value
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1985,109245.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1986,120543.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1987,162444.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1988,217006.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1989,227616.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1990,273139.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1991,300134.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1992,344443.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1993,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1993,451000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1993,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1993,464337.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1993,78000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1993,66000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1993,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1993,3131711.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1993,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1993,644000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1993,1000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1994,2012776.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1994,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1994,453000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1994,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1994,550019.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1994,3000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1994,87000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1994,65000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1994,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1994,3836155.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1994,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1994,725000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1994,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1994,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1995,2150289.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1995,1533846.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1995,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1995,450000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1995,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1995,569970.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1995,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1995,96000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1995,64000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1995,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1995,4488064.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1995,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1995,729000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1995,15000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1995,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1996,2306239.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1996,1714999.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1996,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1996,448000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1996,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1996,684362.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1996,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1996,104000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1996,58000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1996,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1996,4898297.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1996,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1996,738000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1996,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1996,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1997,2504638.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1997,1859452.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1997,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1997,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1997,0.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1997,902875.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1997,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1997,119000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1997,53000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1997,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1997,5475040.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1997,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1997,733000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1997,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1997,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1998,2699821.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1998,1958212.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1998,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1998,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1998,0.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1998,1010124.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1998,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1998,127000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1998,49000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1998,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1998,6102068.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1998,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1998,735000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1998,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1998,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1999,3034767.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,1999,2184462.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1999,2189335.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1999,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1999,544000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1999,0.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1999,1117763.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1999,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1999,134000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1999,43000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1999,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1999,6972959.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1999,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1999,743000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1999,15000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1999,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2000,3382653.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2000,2443449.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2000,2736139.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2000,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2000,0.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2000,14897058.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2000,1315749.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000,3000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2000,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2000,7958801.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2000,752000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2000,15000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2000,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2001,3393553.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2001,2541444.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2001,2674208.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2001,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2001,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2001,0.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2001,14721296.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2001,1358662.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2001,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2001,38000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2001,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2001,9990111.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2001,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2001,776000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2001,17000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2001,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2002,3811899.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2002,2835256.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2002,3055248.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2002,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2002,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2002,0.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2002,15321283.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2002,1564673.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2002,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2002,34000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2002,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2002,11889798.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2002,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2002,766000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2002,17000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2002,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2003,4170565.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2003,2995529.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2003,3374791.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2003,3000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2003,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2003,12000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2003,16548816.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2003,1685367.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2003,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2003,31000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2003,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2003,13185871.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2003,25424477.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2003,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2003,765000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2003,18000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2004,4704855.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2004,2754468.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2004,3691783.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2004,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2004,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2004,13000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2004,17837550.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2004,1903845.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2004,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2004,27000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2004,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2004,14523138.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2004,29926892.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2004,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2004,778000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2004,20000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,2005,4878907.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2005,2900727.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,2005,3813942.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2005,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2005,458000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2005,14000000.0
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,2005,18847697.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2005,2133476.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2005,5000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,2005,178000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,2005,26000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,2005,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,2005,15216460.0
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,2005,30058894.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2005,3000000.0
